"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"BA0071","BA0071","  71","Montana Prospect",44.5572,-117.0164,0,443326,1170059,"MONROE BUTTE","BAKER ","WASHINGTON","Private","Payette NF","68","BA",-117.017245486,44.5570229533,"014N","006W",12,"SW",98,83672,"Mineral","NO"
,,,"BA0072","BA0072","  72","Standard Specularite Prospect",44.5514,-117.03,0,443305,1170148,"MONROE BUTTE","BAKER ","WASHINGTON","Private","Payette NF","65","BA",-117.030845776,44.5512228964,"014N","006W",14,"NW",99,83672,"Mineral","NO"
,,,"BA0073","BA0073","  73","Iron Mountain",44.5525,-117.0231,0,443309,1170123,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Forest Service","Payette NF","160","BA",-117.023945602,44.55232293909999,"014N","006W",14,"NE",100,83672,"Mineral","NO"
,,,"BA0074","BA0074","  74","Iron Mountain Prospect",44.5503,-117.0158,0,443301,1170057,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Forest Service","Payette NF","67","BA",-117.01664537,44.5501230098,"014N","006W",13,"NW",101,83672,"Mineral","NO"
,,,"BA0075","BA0075","  75","Unnamed location",44.5419,-117.0614,0,443231,1170341,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"159","BA",-117.062246501,44.5417227356,"014N","006W",21,"NE",102,83672,"Mineral","NO"
,,,"BA0076","BA0076","  76","Thorn Spring Prospect",44.5239,-117.0681,0,443126,1170405,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"59","BA",-117.068946425,44.5237228226,"014N","006W",28,"NE",103,83672,"Mineral","NO"
,,,"BA0077","BA0077","  77","Unnamed location",44.5353,-117.0397,0,443207,1170223,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"60","BA",-117.04054581,44.53512294639999,"014N","006W",22,"SE",104,83672,"Mineral","NO"
,,,"BA0078","BA0078","  78","Mortimer Mine (Mortimer Prospect; Iron Mountain Mining Co.)",44.54348,-117.02598,3,443237,1170134,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Forest Service","Payette NF","63","BA",-117.026825551,44.54330298599999,"014N","006W",14,"SE",105,83672,"Mineral","YES"
,,,"BA0081","BA0081","  81","Thorson Silica Deposit (Jerry Nos. 1, 2, & 3)",44.5458,-116.9928,0,443245,1165934,"STURGILL PEAK","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","66","BA",-116.993644673,44.545623214,"014N","005W",18,"SW",106,83672,"Mineral","NO"
,,,"BA0082","BA0082","  82","Gold Prospect",44.6383,-116.9714,0,443818,1165817,"NEIL GULCH","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","90","BA",-116.972245424,44.638122682,"015N","005W",17,"NW",107,83610,"","NO"
,,,"BA0083","BA0083","  83","Gabbro Prospect",44.6172,-116.9408,0,443702,1165627,"STURGILL PEAK","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","91","BA",-116.941644275,44.6170230642,"015N","005W",21,"SE",108,83672,"Mineral","NO"
,,,"BA0084","BA0084","  84","Skarn Prospect",44.6097,-116.9289,0,443635,1165544,"STURGILL PEAK","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","92","BA",-116.929743839,44.6095232078,"015N","005W",27,"NW",109,83645,"Mineral","NO"
,,,"BA0085","BA0085","  85","East Fork of Mann Creek Prospect",44.5956,-116.9411,0,443544,1165628,"STURGILL PEAK","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","93","BA",-116.941943971,44.5954232225,"015N","005W",33,"NE",110,83645,"Mineral","NO"
,,,"BA0086","BA0086","  86","Handy Mine (Rock Creek; Columbine Gypsum)",44.45889,-117.21278,3,442732,1171246,"HENLEY BASIN","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"100","BA",-117.213629451,44.4587122481,"013N","007W",17,"SW",111,83672,"","YES"
,,,"BA0087","BA0087","  87","Donoho (Donoho-Toll)",44.4589,-117.1792,0,442732,1171045,"HENLEY BASIN","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"101","BA",-117.180048531,44.45872249769999,"013N","007W",16,"SE",112,83672,"","NO"
,,,"BA0088","BA0088","  88","Lost Lake Mine",44.9528,-116.4453,0,445710,1162643,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","167","BA",-116.446135425,44.95262434639999,"019N","001W",27,"SW",113,83612,"","NO"
,,,"BA0089","BA0089","  89","Galena Mine",44.9294,-116.4678,0,445546,1162804,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","145","BA",-116.468635712,44.9292243384,"018N","001W",4,"NW",114,83612,"","NO"
,,,"BA0090","BA0090","  90","Anderson Group",44.9244,-116.4722,0,445528,1162820,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","146","BA",-116.473035762,44.9242243398,"018N","001W",4,"SW",115,83612,"","NO"
,,,"BA0091","BA0091","  91","Crane Creek",44.9253,-116.4653,0,445531,1162755,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","147","BA",-116.466135583,44.9251243842,"018N","001W",4,"SW",116,83612,"","NO"
,,,"BA0092","BA0092","  92","Bear Creek",44.9097,-116.4147,0,445435,1162453,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","148","BA",-116.41553395,44.9095248592,"018N","001W",11,"SE",117,83612,"","NO"
,,,"BA0093","BA0093","  93","Chipman",44.8978,-116.4136,0,445352,1162449,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","149","BA",-116.414433747,44.8976249477,"018N","001W",14,"NE",118,83612,"","NO"
,,,"BA0094","BA0094","  94","Corrieg & Telluride",44.8903,-116.4322,0,445325,1162556,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","150","BA",-116.433034156,44.89012486279999,"018N","001W",14,"SW",119,83612,"","NO"
,,,"BA0095","BA0095","  95","Kearns",44.8853,-116.4053,0,445307,1162419,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","9","BA",-116.406133336,44.88512509309999,"018N","001W",24,"NW",120,83612,"","NO"
,,,"BA0096","BA0096","  96","Legal Tender",44.8775,-116.4264,0,445239,1162535,"TAMARACK","McCALL ","ADAMS","U.S. Forest Service","Payette NF","151","BA",-116.42723381,44.87732499219999,"018N","001W",23,"SW",121,83612,"","NO"
,,,"BA0097","BA0097","  97","Crescent",44.8739,-116.4131,0,445226,1162447,"FRUITVALE","McCALL ","ADAMS","U.S. Forest Service","Payette NF","8","BA",-116.413933388,44.87372511389999,"018N","001W",26,"NE",122,83612,"","NO"
,,,"BA0098","BA0098","  98","Oregon",44.8731,-116.4056,0,445223,1162420,"FRUITVALE","McCALL ","ADAMS","U.S. Forest Service","Payette NF","152","BA",-116.406433168,44.872925174,"018N","001W",25,"NW",123,83612,"","NO"
,,,"BA0099","BA0099","  99","Jackley",44.8642,-116.4203,0,445151,1162513,"FRUITVALE","McCALL ","ADAMS","U.S. Forest Service","Payette NF","153","BA",-116.421133448,44.86402512759999,"018N","001W",26,"SE",124,83612,"","NO"
,,,"BA0100","BA0100"," 100","Johnson",44.8569,-116.4117,0,445125,1162442,"FRUITVALE","McCALL ","ADAMS","Idaho Department of Lands","Payette NF","154","BA",-116.412533104,44.85672524029999,"018N","001W",36,"NW",125,83612,"","NO"
,,,"BA0101","BA0101"," 101","Manganese Mtns. (New Meadows Manganese Deposit)",44.9206,-116.32,0,445514,1161912,"NEW MEADOWS","McCALL ","ADAMS","Private",,"12","BA",-116.320831472,44.9204254763,"018N","001E",3,"SE",126,83654,"","NO"
,,,"BA0102","BA0102"," 102","Rose Marie Prospect",44.9056,-116.3172,0,445420,1161902,"NEW MEADOWS","McCALL ","ADAMS","Private",,"11","BA",-116.318031178,44.9054255977,"018N","001E",10,"SE",127,83654,"","NO"
,,,"BA0103","BA0103"," 103","Vick Creek",44.9028,-116.3222,0,445410,1161920,"NEW MEADOWS","McCALL ","ADAMS","Private",,"168","BA",-116.323031277,44.9026255802,"018N","001E",15,"NW",128,83654,"","NO"
,,,"BA0104","BA0104"," 104","Burnt Rock Prospect (Orville Manley)",44.8778,-116.3192,0,445240,1161909,"NEW MEADOWS","McCALL ","ADAMS","Private","Payette NF","10","BA",-116.320030833,44.8776257715,"018N","001E",22,"SE",129,83654,"","YES"
,,,"BA0105","BA0105"," 105","Ruby Placer (Victory Placer)",44.96448,-116.16875,3,445752,1161008,"MEADOWS","McCALL ","ADAMS","U.S. Forest Service","Payette NF","191","BA",-116.169577889,44.96430628269999,"019N","002E",23,"SE",130,83654,"","NO"
,,,"BA0106","BA0106"," 106","Rock Flat Placer (Ruby; Boise)",44.93046,-116.17584,3,445550,1161033,"MEADOWS","McCALL ","ADAMS","Private",,"13","BA",-116.176667598,44.93028645739999,"018N","002E",2,"NE",131,83638,"","YES"
,,,"BA0107","BA0107"," 107","Unnamed prospect",44.8856,-116.0028,0,445308,1160010,"MCCALL","McCALL ","VALLEY","Idaho Department of Lands",,"14","BA",-116.003622129,44.8854280084,"018N","004E",20,"NW",132,83638,"","NO"
,,,"BA0108","BA0108"," 108","Unnamed location",44.8767,-116.0025,0,445236,1160009,"MCCALL","McCALL ","VALLEY","Idaho Department of Lands",,"15","BA",-116.003321994,44.8765280707,"018N","004E",20,"SW",133,83638,"","NO"
,,,"BA0109","BA0109"," 109","Boulder Creek Placer",44.845,-116.0194,0,445042,1160110,"LAKE FORK","McCALL ","VALLEY","Private",,"170","BA",-116.020222015,44.8448281646,"017N","004E",6,"NW",134,83638,"","NO"
,,,"BA0110","BA0110"," 110","Lake Fork Creek",44.8247,-116.0183,0,444929,1160106,"LAKE FORK","McCALL ","VALLEY","Private",,"171","BA",-116.019121695,44.8245283116,"017N","004E",7,"SW",135,83638,"","NO"
,,,"BA0111","BA0111"," 111","Jacobs Property (Jacobs Quartz)",44.8178,-116.0069,0,444904,1160025,"LAKE FORK","McCALL ","VALLEY","Private",,"16","BA",-116.00772128,44.817628441,"017N","004E",18,"NE",136,83638,"","NO"
,,,"BA0112","BA0112"," 112","Unnamed prospect",44.8,-116.0103,0,444800,1160037,"LAKE FORK","McCALL ","VALLEY","Private",,"17","BA",-116.011121122,44.7998285394,"017N","004E",19,"NE",137,83638,"","NO"
,,,"BA0113","BA0113"," 113","Granite Queen Property",44.7247,-116.2597,0,444329,1161535,"COUNCIL MOUNTAIN","McCALL ","ADAMS","U.S. Forest Service","Payette NF","23","BA",-116.260526988,44.72452726789999,"016N","002E",18,"ALL",138,83612,"","NO"
,,,"BA0114","BA0114"," 114","Black Horse Group",44.65944,-116.27083,3,443934,1161615,"COUNCIL MOUNTAIN","McCALL ","ADAMS","U.S. Forest Service","Payette NF","178","BA",-116.271656368,44.6592676552,"015N","001E",1,"SE",139,83612,"","YES"
,,,"BA0115","BA0115"," 115","Stite's Prospect (Acorn Claim)",44.6575,-116.26861,3,443927,1161607,"COUNCIL MOUNTAIN","McCALL ","ADAMS","Private",,"22","BA",-116.269436279,44.6573276853,"015N","002E",7,"NW",140,83612,"","NO"
,,,"BA0116","BA0116"," 116","Mica Queen Mine",44.65285,-116.24919,3,443910,1161457,"LONE TREE","McCALL ","ADAMS","U.S. Forest Service","Payette NF","21","BA",-116.250015674,44.6526778595,"015N","002E",8,"NW",141,83643,"","YES"
,,,"BA0117","BA0117"," 117","Rinehart Group",44.65833,-116.24361,3,443930,1161437,"LONE TREE","McCALL ","ADAMS","U.S. Forest Service",,"179","BA",-116.244435597,44.6581578601,"015N","002E",5,"SW",142,83643,"","YES"
,,,"BA0118","BA0118"," 118","Tungmarie Nos. 2 & 5",44.6878,-116.16,0,444116,1160936,"LONE TREE","McCALL ","VALLEY","Idaho Department of Lands","Payette NF","20","BA",-116.160823695,44.6876282517,"016N","002E",36,"NW",143,83611,"","NO"
,,,"BA0119","BA0119"," 119","West Mountain Placers",44.6714,-116.1125,0,444017,1160645,"DONNELLY","McCALL ","VALLEY","Private",,"19","BA",-116.113322144,44.67122871159999,"015N","003E",5,"NE",144,83615,"","NO"
,,,"BA0120","BA0120"," 120","Gold Fork Placer",44.70083,-116.02528,3,444203,1160131,"DONNELLY","McCALL ","VALLEY","Private",,"18","BA",-116.026100135,44.7006591281,"016N","004E",30,"NW",145,83638,"","YES"
,,,"BA0121","BA0121"," 121","Ridgenall and Adams",44.5706,-116.1722,0,443414,1161020,"COLD SPRING RIDGE","McCALL ","VALLEY","U.S. Forest Service","Boise NF","95","BA",-116.173022377,44.5704290174,"014N","002E",11,"NE",146,83611,"","NO"
,,,"BA0122","BA0122"," 122","Beaver Creek",44.5806,-116.0022,0,443450,1160008,"CASCADE","McCALL ","VALLEY","Private",,"158","BA",-116.003017803,44.5804301643,"014N","004E",5,"NW",147,83611,"","NO"
,,,"BA0123","BA0123"," 123","No Name (Van Wych Lookout; Vanwyck Lookout; Jones and Morrell)",44.525,-116.1653,0,443130,1160955,"COLD SPRING RIDGE","McCALL ","ADAMS","U.S. Forest Service","Payette NF","96","BA",-116.166121544,44.52482940669999,"014N","002E",25,"NW",148,83632,"","NO"
,,,"BA0124","BA0124"," 124","Brush Creek Placer",44.4331,-116.1272,0,442559,1160738,"TRIPOD PEAK","WEISER ","VALLEY","U.S. Forest Service","Boise NF","192","BA",-116.128019202,44.43293037719999,"013N","003E",29,"NW",149,83611,"","NO"
,,,"BA0125","BA0125"," 125","Maloney Group (Hurd Creek; Hurley Creek Prospect; Hurdy Creek Prospect; U Lode)",44.41732,-116.06346,3,442502,1160348,"ALPHA","WEISER ","VALLEY","U.S. Forest Service",,"97","BA",-116.064277219,44.4171509551,"013N","003E",35,"SE",150,83611,"","YES"
,,,"BA0126","BA0126"," 126","Clear Creek",44.4047,-116.0069,0,442417,1160025,"ALPHA","WEISER ","VALLEY","Private",,"98","BA",-116.007715479,44.4045314566,"012N","004E",5,"NE",151,83611,"","NO"
,,,"BA0127","BA0127"," 127","Lucky Star Mine",44.6425,-116.5597,0,443833,1163335,"GOODRICH","McCALL ","ADAMS","Private",,"157","BA",-116.560534124,44.6423256784,"015N","002W",15,"NE",152,83612,"","NO"
,,,"BA0128","BA0128"," 128","Indian Valley Diatomite Occurrence",44.5758,-116.4753,0,443433,1162831,"INDIAN VALLEY","McCALL ","ADAMS","Private",,"94","BA",-116.476130839,44.5756267851,"014N","001W",5,"SE",153,83632,"","NO"
,,,"BA0129","BA0129"," 129","Turley Property",44.4847,-116.8461,0,442905,1165046,"MIDVALE HILL","WEISER ","WASHINGTON","U.S. Bureau of Land Management",,"162","BA",-116.846939759,44.4845247607,"013N","004W",8,"NW",154,83645,"","NO"
,,,"BA0130","BA0130"," 130","Unnamed mine",44.4825,-116.8444,0,442857,1165040,"MIDVALE HILL","WEISER ","WASHINGTON","U.S. Bureau of Land Management",,"163","BA",-116.845239681,44.48232479,"013N","004W",8,"NW",155,83645,"","NO"
,,,"BA0131","BA0131"," 131","Morrow Property",44.4494,-116.9186,0,442658,1165507,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"102","BA",-116.919441245,44.449224499,"013N","005W",22,"NE",156,83672,"","NO"
,,,"BA0132","BA0132"," 132","Jerry No. 1 Mine",44.4417,-116.9094,0,442630,1165434,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"165","BA",-116.910240882,44.4415246264,"013N","005W",23,"SW",157,83672,"","NO"
,,,"BA0133","BA0133"," 133","Diatomite Occurrence",44.4119,-116.8631,0,442443,1165147,"MIDVALE HILL","WEISER ","WASHINGTON","Private",,"105","BA",-116.863939183,44.41172519889999,"012N","004W",6,"NE",158,83645,"","NO"
,,,"BA0134","BA0134"," 134","Diatomite Mine (Catrock)",44.3972,-116.8656,0,442350,1165156,"MIDVALE HILL","WEISER ","WASHINGTON","Private",,"106","BA",-116.866439042,44.39702529549999,"012N","004W",7,"NW",159,83672,"","NO"
,,,"BA0135","BA0135"," 135","Diatomite Occurrence",44.42,-116.9678,0,442512,1165804,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"103","BA",-116.968642173,44.419824365,"013N","005W",32,"NW",160,83672,"Monroe","NO"
,,,"BA0136","BA0136"," 136","Diatomite Occurrence",44.4089,-116.9567,0,442432,1165724,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"104","BA",-116.95754171,44.40872453359999,"012N","005W",5,"NE",161,83672,"Monroe","NO"
,,,"BA0137","BA0137"," 137","Ellis Ranch Diatomite Prospect",44.3933,-116.91,0,442336,1165436,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"107","BA",-116.910840205,44.3931249997,"012N","005W",11,"NW",162,83672,"Monroe","NO"
,,,"BA0138","BA0138"," 138","Unnamed location",44.3881,-116.9161,0,442317,1165458,"MANN CREEK NW","WEISER ","WASHINGTON","Private",,"164","BA",-116.916940298,44.3879249957,"012N","005W",10,"SE",163,83672,"Monroe","NO"
,,,"BA0139","BA0139"," 139","Thirsty Mountain-Haystack Mountain",44.3411,-117.0236,0,442028,1170125,"PORTERS FLAT","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"174","BA",-117.024442572,44.340924576,"012N","006W",26,"SW",164,83672,"","NO"
,,,"BA0140","BA0140"," 140","Idaho-Oregon Coal Co.",44.26167,-117.15333,3,441542,1170912,"OLDS FERRY","BROGAN ","WASHINGTON","Private",,"202","BA",-117.154174982,44.26149425809999,"011N","007W",27,"NE",165,83672,"","YES"
,,,"BA0141","BA0141"," 141","Clay Occurrence",44.2667,-117.1633,0,441600,1170948,"OLDS FERRY","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"112","BA",-117.164145327,44.2665241433,"011N","007W",27,"NW",166,83672,"","NO"
,,,"BA0142","BA0142"," 142","Indian Head Calcite",44.27222,-117.15417,3,441620,1170915,"OLDS FERRY","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"203","BA",-117.155015157,44.27204416599999,"011N","007W",22,"SE",167,83672,"","YES"
,,,"BA0143","BA0143"," 143","Shale Bed Prospect",44.2739,-117.1492,0,441626,1170857,"OLDS FERRY","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"114","BA",-117.150045045,44.27372418909999,"011N","007W",23,"SW",168,83672,"","NO"
,,,"BA0144","BA0144"," 144","Clay Occurrence",44.2636,-117.1531,0,441549,1170911,"OLDS FERRY","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"113","BA",-117.153945004,44.263424244,"011N","007W",27,"NE",169,83672,"","NO"
,,,"BA0145","BA0145"," 145","Indian Head",44.2697,-117.1472,0,441611,1170850,"OLDS FERRY","BROGAN ","WASHINGTON","U.S. Bureau of Land Management",,"173","BA",-117.14804493,44.269524238,"011N","007W",23,"SW",170,83672,"","NO"
,,,"BA0146","BA0146"," 146","Idaho Clay Products Co.",44.29667,-117.09194,3,441748,1170531,"PORTERS FLAT","BROGAN ","WASHINGTON","Private",,"201","BA",-117.092783806,44.296494428,"011N","006W",8,"SW",171,83672,"","YES"
,,,"BA0147","BA0147"," 147","Olds Perry Placer",44.2942,-117.0628,0,441739,1170346,"PORTERS FLAT","BROGAN ","WASHINGTON","Private",,"115","BA",-117.063642973,44.2940246631,"011N","006W",16,"NE",172,83672,"","NO"
,,,"BA0148","BA0148"," 148","Blue Dog",44.31694,-116.94222,3,441901,1165632,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"111","BA",-116.943059997,44.31676536849999,"011N","005W",4,"SE",173,83672,"","YES"
,,,"BA0149","BA0149"," 149","Monroe Creek Tuff Deposit",44.3194,-116.9225,0,441910,1165521,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"110","BA",-116.923339492,44.3192254938,"011N","005W",3,"NW",174,83672,"","NO"
,,,"BA0150","BA0150"," 150","Modock Mine (Tip Top)",44.33639,-116.90111,3,442011,1165404,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"109","BA",-116.901949148,44.3362155153,"012N","005W",35,"NE",175,83672,"","YES"
,,,"BA0151","BA0151"," 151","John Coats Prospect (Coats)",44.3431,-116.8833,0,442035,1165300,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"108","BA",-116.884138755,44.3429255927,"012N","005W",25,"SW",176,83672,"","NO"
,,,"BA0152","BA0152"," 152","Diatomite Occurrence",44.3353,-116.8547,0,442007,1165117,"MANN CREEK SE","WEISER ","WASHINGTON","Private",,"118","BA",-116.85553786,44.33512586459999,"012N","004W",31,"NE",177,83672,"","NO"
,,,"BA0153","BA0153"," 153","Consolidated Properties (Consolidated Quicksilver Claims; Hoover; WD-VAR Prospect)",44.33472,-116.75861,3,442005,1164531,"MANN CREEK SE","WEISER ","WASHINGTON","Idaho Department of Lands",,"119","BA",-116.759445215,44.334546573,"012N","004W",36,"NE",178,83645,"","YES"
,,,"BA0154","BA0154"," 154","Unnamed location",44.2903,-116.9625,0,441725,1165745,"WEISER NORTH","WEISER ","WASHINGTON","U.S. Bureau of Land Management",,"116","BA",-116.963340173,44.29012543349999,"011N","005W",17,"NW",179,83672,"","NO"
,,,"BA0155","BA0155"," 155","Clay Occurrence",44.27,-116.9675,0,441612,1165803,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"117","BA",-116.96834002,44.2698255609,"011N","005W",20,"SW",180,83672,"","NO"
,,,"BA0156","BA0156"," 156","Pioneer Drilling Corp",44.27722,-116.93694,3,441638,1165613,"WEISER NORTH","WEISER ","WASHINGTON","Private",,"205","BA",-116.937779287,44.2770457271,"011N","005W",21,"NE",181,83672,"","YES"
,,,"BA0157","BA0157"," 157","Bristol Northwest Silica",44.2469,-116.9647,0,441449,1165753,"WEISER SOUTH","WEISER ","WASHINGTON","Private",,"172","BA",-116.965539615,44.24672576939999,"011N","005W",32,"NW",182,83672,"","NO"
,,,"BA0158","BA0158"," 158","Rocky Bar Placer",44.2372,-116.9711,0,441414,1165816,"WEISER SOUTH","WEISER ","WASHINGTON","Private",,"195","BA",-116.971939652,44.2370258015,"","",,"",183,83672,"","NO"
,,,"BA0159","BA0159"," 159","Diatomite Occurrence",44.295,-116.8022,0,441742,1164808,"MANN CREEK SE","WEISER ","WASHINGTON","Private",,"120","BA",-116.803035847,44.2948265717,"011N","004W",15,"NW",184,83672,"Weiser Quicksilver","NO"
,,,"BA0160","BA0160"," 160","Weiser Silica Prospect",44.2747,-116.7819,0,441629,1164655,"MANN CREEK SE","WEISER ","WASHINGTON","Private",,"121","BA",-116.782735003,44.2745268837,"011N","004W",23,"SW",185,83672,"Weiser Quicksilver","NO"
,,,"BA0161","BA0161"," 161","Diatomite Occurrence",44.2483,-116.8636,0,441454,1165149,"WEISER COVE","WEISER ","WASHINGTON","Private",,"122","BA",-116.864436868,44.24812649979999,"011N","004W",31,"NW",186,83672,"Weiser Quicksilver","NO"
,,,"BA0162","BA0162"," 162","Clay Occurrence",44.2256,-116.7908,0,441332,1164727,"WEISER COVE","WEISER ","WASHINGTON","Private",,"123","BA",-116.791634552,44.22542721759999,"010N","004W",2,"SW",187,83672,"Weiser Quicksilver","NO"
,,,"BA0163","BA0163"," 163","Helen Zucker Prospect (Zucker Property; Parker Group)",44.25,-116.71639,3,441500,1164259,"HOLLAND GULCH","WEISER ","WASHINGTON","U.S. Bureau of Land Management",,"124","BA",-116.717222858,44.2498275619,"011N","003W",32,"NE",188,83672,"Weiser Quicksilver","YES"
