"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"BA0017",159,,"Cook, 1954, IBMG P-97.",
"BA0018",159,,"Cook, 1954, IBMG P-97.",
"BA0019",601,,"Livingston, 1925, IBMG P-13.",
"BA0020",1678,,"Western Mining News, 1977, March 18.",
"BA0021",501,,"Hubbard, 1955, IBMG P-105.",
"BA0022",159,,"Cook, 1954, IBMG P-97.",
"BA0023",421,,"Fankhauser, 1969, Oregon State Univ. M.S. thesis.",
"BA0024",601,,"Livingston, 1925, IBMG P-13.",
"BA0025",601,,"Livingston, 1925, IBMG P-13.",
"BA0026",601,,"Livingston, 1925, IBMG P-13.",
"BA0027",421,,"Fankhauser, 1969, Oregon State Univ. M.S. thesis.",
"BA0028",601,,"Livingston, 1925, IBMG P-13.",
"PL0006",510,,,
"JV0100",510,,,
"BO0180",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0181",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0182",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0183",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0184",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0185",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0186",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0187",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0188",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0189",1622,,"USGS, Silver City 15-min. quad. topo. map.",
"BO0190",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0191",1622,,"USGS, Silver City 15-min. quad. topo. map.",
"BO0192",1622,,"USGS, Silver City 15-min. quad. topo. map.",
"BO0193",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0194",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0195",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0196",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0197",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0198",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0199",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0200",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0201",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0202",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0203",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0204",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0205",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0206",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0207",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0208",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0209",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0210",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0211",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0212",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"BO0213",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0214",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0215",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0216",841,,"Piper and Laney, 1926, IBMG B-11.",
"BO0217",1034,,"USBM, n.d., USBM files.",
"BO0218",952,,"Staley, 1945, IBMG P-72.",
"BO0219",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0220",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0221",767,,"No reference.",
"BO0222",46,,"Asher, 1965, IBMG P-135.",
"BO0223",46,,"Asher, 1965, IBMG P-135.",
"BO0224",46,,"Asher, 1965, IBMG P-135.",
"BO0225",1034,,"USBM, n.d., USBM files.",
"BO0226",738,,"MSHA, 1980, MSHA Mine File Report.",
"BO0227",482,,"Heikes, 1906, in Mineral Resources of the U.S. for 1905.",
"BO0228",893,,"Savage, 1961, IBMG CR-4.",
"BO0229",767,,"No reference.",
"BO0230",767,,"No reference.",
"BO0231",893,,"Savage, 1961, IBMG CR-4.",
"BO0232",637,,"McDowell, 1958, 58th Ann. Rept. of Mining Ind. of Idaho for 1957.",
"BO0233",893,,"Savage, 1961, IBMG CR-4.",
"BO0234",1034,,"USBM, n.d., USBM files.",
"BO0235",114,,"Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Idaho for 1928.",
"BO0236",1034,,"USBM, n.d., USBM files.",
"BO0237",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0238",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0239",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0240",113,,"Campbell, 1928, 29th Ann. Rept. of Mining Ind. of Idaho for 1927.",
"BO0241",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0242",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0243",1034,,"USBM, n.d., USBM files.",
"BO0244",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0245",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0246",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0247",1153,,"USBM, n.d., WFOC MPF-34.340.",
"BO0248",1034,,"USBM, n.d., USBM files.",
"BO0249",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0250",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0251",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0252",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0253",635,,"McDowell, 1955, 56th Ann. Rept. of Mining Ind. of Idaho for 1954.",
"BO0254",1077,,"USBM, n.d., WFOC MPF-19.500.",
"BO0255",116,,"Campbell, 1931, 32nd Ann. Rept. of Mining Ind. of Idaho for 1930.",
"BO0255",1471,,"USGS, Cartwright Canyon 7.5-min. quad. topo. map.",
"BO0257",969,,"Taylor, 1965, written communication.",
"BO0258",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BO0259",1531,,"USGS, Harris Creek Summit 7.5-min. quad. topo. map.",
"BO0260",29,,"Anderson, 1947, USGS B-944-C.",
"BO0261",29,,"Anderson, 1947, USGS B-944-C.",
"BO0262",29,,"Anderson, 1947, USGS B-944-C.",
"BO0263",29,,"Anderson, 1947, USGS B-944-C.",
"BO0264",29,,"Anderson, 1947, USGS B-944-C.",
"BO0265",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0266",1414,,"USGS, 1943, Spokane Commodity Files.",
"BO0267",1137,,"USBM, n.d., WFOC MPF-30.400.",
"BO0268",29,,"Anderson, 1947, USGS B-944-C.",
"BO0269",892,,"Savage, 1958, IBMG CR-3.",
"BO0270",1034,,"USBM, n.d., USBM files.",
"BO0271",952,,"Staley, 1945, IBMG P-72.",
"BO0272",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0273",905,,"Schrader and others, 1917, USGS B-624.",
"BO0274",767,,"No reference.",
"BO0275",767,,"No reference.",
"BO0276",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0277",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BO0278",1034,,"USBM, n.d., USBM files.",
"BO0279",1034,,"USBM, n.d., USBM files.",
"BO0280",1233,,"USBM, n.d., WFOC MPF-43.400.",
"BO0281",118,,"Campbell, 1933, 34th Ann. Rept. of Mining Ind. of Idaho for 1932.",
"BO0282",1610,,"USGS, Robie Creek 7.5-min. quad. topo. map.",
"BO0283",1421,,"USGS, 1965, Spokane Commodity Files.",
"BO0284",1034,,"USBM, n.d., USBM files.",
"BO0285",999,,"US Atomic Energy Comm., n.d., Boise County Prelim. Reconnaissance Repts.",
"BO0286",1311,,"USBM, n.d., WFOC MPF-75.140.",
"BO0287",833,,"Pattee and others, 1968, USBM RI-7148.",
"BO0287",892,,"Savage, 1958, IBMG CR-3.",
"BO0289",892,,"Savage, 1958, IBMG CR-3.",
"BO0290",974,,"The Capital Granite Co., Ltd., 1915, The Capital Granite Co., Ltd., Ann. Rept. to Idaho Inspector of Mines.",
"BO0291",109,,"Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",
"BO0292",1034,,"USBM, n.d., USBM files.",
"BO0293",847,,"Powers, 1947, IGS Mineral Property Files.",
"BO0294",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0295",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0296",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0297",111,,"Campbell, 1926, 27th Ann. Rept. of Mining Ind. of Idaho for 1925.",
"BO0298",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BO0299",767,,"No reference.",
"BO0300",1610,,"USGS, Robie Creek 7.5-min. quad. topo. map.",
"BO0301",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0302",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0303",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0304",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0305",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0306",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0307",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0308",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0309",746,,"MSHA, 1982, MSHA Mine File Report.",
"BO0310",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0311",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0312",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0313",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0314",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0315",109,,"Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",
"BO0316",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0317",46,,"Asher, 1965, IBMG P-135.",
"BO0318",716,,"Moore, 1910, 11th Ann. Rept. of Mining Ind. of Idaho for 1909.",
"BO0319",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0320",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0321",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0322",892,,"Savage, 1958, IBMG CR-3.",
"BO0323",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0324",1034,,"USBM, n.d., USBM files.",
"BO0325",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0326",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0327",926,,"Simons, 1935, 36th Ann. Rept. of Mining Ind. of Idaho for 1934.",
"BO0328",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0329",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0330",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0331",892,,"Savage, 1958, IBMG CR-3.",
"BO0332",60,,"Bell, 1908, 9th Ann. Rept. of Mining Ind. of Idaho for 1907.",
"BO0333",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0334",716,,"Moore, 1910, 11th Ann. Rept. of Mining Ind. of Idaho for 1909.",
"BO0335",892,,"Savage, 1958, IBMG CR-3.",
"BO0336",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"BO0337",892,,"Savage, 1958, IBMG CR-3.",
"BO0338",60,,"Bell, 1908, 9th Ann. Rept. of Mining Ind. of Idaho for 1907.",
"BO0339",892,,"Savage, 1958, IBMG CR-3.",
"BO0340",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0341",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0342",586,,"Leppert and Gillerman, 2005, Boise Foothills AML report.",
"BO0343",1034,,"USBM, n.d., USBM files.",
"BO0344",1034,,"USBM, n.d., USBM files.",
"BO0345",1034,,"USBM, n.d., USBM files.",
"BO0346",1034,,"USBM, n.d., USBM files.",
"BO0347",1034,,"USBM, n.d., USBM files.",
"BO0348",1034,,"USBM, n.d., USBM files.",
"BO0349",1034,,"USBM, n.d., USBM files.",
"BO0414",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0415",47,,"Asher, 1968, IBMG P-138.",
"BO0416",47,,"Asher, 1968, IBMG P-138.",
"BO0417",1286,,"USBM, n.d., WFOC MPF-72.002.",
"BO0418",96,,"Brown, 1975, 1st Ann. Rept. Addendum of Idaho Dept. of Labor & Industrial Services.",
"BO0419",96,,"Brown, 1975, 1st Ann. Rept. Addendum of Idaho Dept. of Labor & Industrial Services.",
"BO0420",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0421",47,,"Asher, 1968, IBMG P-138.",
"BO0422",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0423",47,,"Asher, 1968, IBMG P-138.",
"BO0424",738,,"MSHA, 1980, MSHA Mine File Report.",
"BO0425",47,,"Asher, 1968, IBMG P-138.",
"BO0426",165,,"Coronado Mining Co., 1920, Coronado Mining Co. Ann. Rept. to Idaho Inspector of Mines.",
"BO0427",163,,"Co-operative Mining & Dev. Co., 1913, Co-operative Mining & Dev. Co. Ann. Rept. to Idaho Inspector of Mines.",
"BO0429",47,,"Asher, 1968, IBMG P-138.",
"BO0430",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0431",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0432",47,,"Asher, 1968, IBMG P-138.",
"BO0433",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0434",1612,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",
"BO0435",47,,"Asher, 1968, IBMG P-138.",
"BO0436",47,,"Asher, 1968, IBMG P-138.",
"BO0437",47,,"Asher, 1968, IBMG P-138.",
"BO0438",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0439",47,,"Asher, 1968, IBMG P-138.",
"BO0440",47,,"Asher, 1968, IBMG P-138.",
"BO0441",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0442",1622,,"USGS, Silver City 15-min. quad. topo. map.",
"BO0443",1011,,"USBM Staff, 1965, USBM IC-8252.",
"BO0444",565,,"Kinghorn and Fica, 1979, Final Ann. Rept., Idaho Dept. of Labor & Industrial Services.",
"BO0445",1011,,"USBM Staff, 1965, USBM IC-8252.",
"BO0446",46,,"Asher, 1965, IBMG P-135.",
"BO0447",47,,"Asher, 1968, IBMG P-138.",
"BO0448",848,,"Powers, 1955, IGS Mineral Property Files.",
"BO0449",46,,"Asher, 1965, IBMG P-135.",
"BO0450",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BO0451",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"BO0452",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BO0454",631,,"McDowell, 1951, 52nd Ann. Rept. of Mining Ind. of Idaho for 1950.",
"BO0455",124,,"Campbell, 1941, 42nd Ann. Rept. of Mining Ind. of Idaho for 1940.",
"BO0456",892,,"Savage, 1958, IBMG CR-3.",
"BO0457",1473,,"USGS, Castle Butte 7.5-min. quad. topo. map.",
"BO0458",892,,"Savage, 1958, IBMG CR-3.",
"BO0459",1034,,"USBM, n.d., USBM files.",
"BO0460",1473,,"USGS, Castle Butte 7.5-min. quad. topo. map.",
"BO0461",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"BO0462",952,,"Staley, 1945, IBMG P-72.",
"BO0463",952,,"Staley, 1945, IBMG P-72.",
"BO0464",1034,,"USBM, n.d., USBM files.",
"BO0465",952,,"Staley, 1945, IBMG P-72.",
"CH0001",140,,"Cater and others, 1973, USGS B-1304.",
"CH0002",140,,"Cater and others, 1973, USGS B-1304.",
"CH0003",767,,"No reference.",
"CH0004",767,,"No reference.",
"CH0005",140,,"Cater and others, 1973, USGS B-1304.",
"CH0006",140,,"Cater and others, 1973, USGS B-1304.",
"CH0007",140,,"Cater and others, 1973, USGS B-1304.",
"CH0008",140,,"Cater and others, 1973, USGS B-1304.",
"CH0009",140,,"Cater and others, 1973, USGS B-1304.",
"CH0010",140,,"Cater and others, 1973, USGS B-1304.",
"CH0011",140,,"Cater and others, 1973, USGS B-1304.",
"CH0012",140,,"Cater and others, 1973, USGS B-1304.",
"CH0013",140,,"Cater and others, 1973, USGS B-1304.",
"CH0014",140,,"Cater and others, 1973, USGS B-1304.",
"CH0015",140,,"Cater and others, 1973, USGS B-1304.",
"CH0016",140,,"Cater and others, 1973, USGS B-1304.",
"CH0017",140,,"Cater and others, 1973, USGS B-1304.",
"CH0018",140,,"Cater and others, 1973, USGS B-1304.",
"CH0019",140,,"Cater and others, 1973, USGS B-1304.",
"BO0453",746,,"MSHA, 1982, MSHA Mine File Report.",
"CH0020",140,,"Cater and others, 1973, USGS B-1304.",
"CH0021",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0022",140,,"Cater and others, 1973, USGS B-1304.",
"CH0023",140,,"Cater and others, 1973, USGS B-1304.",
"CH0024",140,,"Cater and others, 1973, USGS B-1304.",
"CH0025",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0026",140,,"Cater and others, 1973, USGS B-1304.",
"CH0027",140,,"Cater and others, 1973, USGS B-1304.",
"CH0028",1034,,"USBM, n.d., USBM files.",
"CH0029",140,,"Cater and others, 1973, USGS B-1304.",
"CH0030",140,,"Cater and others, 1973, USGS B-1304.",
"CH0031",140,,"Cater and others, 1973, USGS B-1304.",
"CH0032",140,,"Cater and others, 1973, USGS B-1304.",
"CH0033",140,,"Cater and others, 1973, USGS B-1304.",
"CH0034",140,,"Cater and others, 1973, USGS B-1304.",
"CH0035",140,,"Cater and others, 1973, USGS B-1304.",
"CH0036",140,,"Cater and others, 1973, USGS B-1304.",
"CH0037",140,,"Cater and others, 1973, USGS B-1304.",
"CH0038",140,,"Cater and others, 1973, USGS B-1304.",
"CH0039",140,,"Cater and others, 1973, USGS B-1304.",
"CH0040",140,,"Cater and others, 1973, USGS B-1304.",
"CH0041",140,,"Cater and others, 1973, USGS B-1304.",
"CH0042",140,,"Cater and others, 1973, USGS B-1304.",
"CH0043",140,,"Cater and others, 1973, USGS B-1304.",
"CH0044",140,,"Cater and others, 1973, USGS B-1304.",
"CH0045",140,,"Cater and others, 1973, USGS B-1304.",
"CH0046",140,,"Cater and others, 1973, USGS B-1304.",
"CH0047",140,,"Cater and others, 1973, USGS B-1304.",
"CH0048",140,,"Cater and others, 1973, USGS B-1304.",
"CH0049",140,,"Cater and others, 1973, USGS B-1304.",
"CH0050",140,,"Cater and others, 1973, USGS B-1304.",
"CH0051",140,,"Cater and others, 1973, USGS B-1304.",
"CH0052",140,,"Cater and others, 1973, USGS B-1304.",
"CH0053",140,,"Cater and others, 1973, USGS B-1304.",
"CH0054",140,,"Cater and others, 1973, USGS B-1304.",
"CH0055",140,,"Cater and others, 1973, USGS B-1304.",
"CH0056",140,,"Cater and others, 1973, USGS B-1304.",
"CH0057",140,,"Cater and others, 1973, USGS B-1304.",
"CH0058",140,,"Cater and others, 1973, USGS B-1304.",
"CH0059",140,,"Cater and others, 1973, USGS B-1304.",
"CH0060",140,,"Cater and others, 1973, USGS B-1304.",
"CH0061",140,,"Cater and others, 1973, USGS B-1304.",
"CH0062",140,,"Cater and others, 1973, USGS B-1304.",
"CH0063",140,,"Cater and others, 1973, USGS B-1304.",
"CH0064",140,,"Cater and others, 1973, USGS B-1304.",
"CH0065",140,,"Cater and others, 1973, USGS B-1304.",
"CH0066",140,,"Cater and others, 1973, USGS B-1304.",
"CH0067",140,,"Cater and others, 1973, USGS B-1304.",
"CH0068",140,,"Cater and others, 1973, USGS B-1304.",
"CH0069",917,,"Shenon and Ross, 1936, IBMG P-44.",
"CH0070",917,,"Shenon and Ross, 1936, IBMG P-44.",
"CH0071",917,,"Shenon and Ross, 1936, IBMG P-44.",
"CH0072",140,,"Cater and others, 1973, USGS B-1304.",
"CH0073",140,,"Cater and others, 1973, USGS B-1304.",
"CH0074",767,,"No reference.",
"CH0075",140,,"Cater and others, 1973, USGS B-1304.",
"CH0076",140,,"Cater and others, 1973, USGS B-1304.",
"CH0077",140,,"Cater and others, 1973, USGS B-1304.",
"CH0078",140,,"Cater and others, 1973, USGS B-1304.",
"CH0079",140,,"Cater and others, 1973, USGS B-1304.",
"CH0080",140,,"Cater and others, 1973, USGS B-1304.",
"CH0081",140,,"Cater and others, 1973, USGS B-1304.",
"CH0082",140,,"Cater and others, 1973, USGS B-1304.",
"CH0083",140,,"Cater and others, 1973, USGS B-1304.",
"CH0084",140,,"Cater and others, 1973, USGS B-1304.",
"CH0085",32,,"Anderson, 1953, IBMG P-94.",
"CH0086",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0087",32,,"Anderson, 1953, IBMG P-94.",
"CH0088",32,,"Anderson, 1953, IBMG P-94.",
"CH0089",589,,"Lesure, 1964, in IBMG SR-1.",
"CH0090",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0091",32,,"Anderson, 1953, IBMG P-94.",
"CH0092",32,,"Anderson, 1953, IBMG P-94.",
"CH0093",32,,"Anderson, 1953, IBMG P-94.",
"CH0094",32,,"Anderson, 1953, IBMG P-94.",
"CH0095",32,,"Anderson, 1953, IBMG P-94.",
"CH0096",32,,"Anderson, 1953, IBMG P-94.",
"CH0097",877,,"Ross, 1934, USGS B-854.",
"CH0098",32,,"Anderson, 1953, IBMG P-94.",
"CH0099",32,,"Anderson, 1953, IBMG P-94.",
"CH0100",32,,"Anderson, 1953, IBMG P-94.",
"CH0101",32,,"Anderson, 1953, IBMG P-94.",
"CH0102",32,,"Anderson, 1953, IBMG P-94.",
"CH0103",32,,"Anderson, 1953, IBMG P-94.",
"CH0104",32,,"Anderson, 1953, IBMG P-94.",
"CH0105",1034,,"USBM, n.d., USBM files.",
"CH0106",32,,"Anderson, 1953, IBMG P-94.",
"CH0107",32,,"Anderson, 1953, IBMG P-94.",
"CH0108",32,,"Anderson, 1953, IBMG P-94.",
"CH0109",32,,"Anderson, 1953, IBMG P-94.",
"CH0110",32,,"Anderson, 1953, IBMG P-94.",
"CH0111",32,,"Anderson, 1953, IBMG P-94.",
"CH0112",32,,"Anderson, 1953, IBMG P-94.",
"CH0113",32,,"Anderson, 1953, IBMG P-94.",
"CH0114",32,,"Anderson, 1953, IBMG P-94.",
"CH0115",162,,"Cooper, 1951, USGS B-969-F.",
"CH0116",167,,"Currier, 1935, IBMG P-43.",
"CH0117",1003,,"US Atomic Energy Comm., US Atomic Energy Comm. Valley County Prelim. Reconnaissance Repts.",
"CH0118",167,,"Currier, 1935, IBMG P-43.",
"CH0119",162,,"Cooper, 1951, USGS B-969-F.",
"CH0120",167,,"Currier, 1935, IBMG P-43.",
"CH0121",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0122",1679,,"White, 1940, USGS B-922-I.",
"CH0123",167,,"Currier, 1935, IBMG P-43.",
"CH0124",162,,"Cooper, 1951, USGS B-969-F.",
"CH0125",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0126",162,,"Cooper, 1951, USGS B-969-F.",
"CH0127",162,,"Cooper, 1951, USGS B-969-F.",
"CH0128",167,,"Currier, 1935, IBMG P-43.",
"CH0129",167,,"Currier, 1935, IBMG P-43.",
"CH0130",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0131",167,,"Currier, 1935, IBMG P-43.",
"CH0132",162,,"Cooper, 1951, USGS B-969-F.",
"CH0133",162,,"Cooper, 1951, USGS B-969-F.",
"CH0134",162,,"Cooper, 1951, USGS B-969-F.",
"CH0135",167,,"Currier, 1935, IBMG P-43.",
"CH0136",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0137",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0138",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0139",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0140",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0141",167,,"Currier, 1935, IBMG P-43.",
"CH0142",167,,"Currier, 1935, IBMG P-43.",
"CH0143",167,,"Currier, 1935, IBMG P-43.",
"CH0144",906,,"Schrader and Ross, 1926, USGS B-780-D.",
"CH0145",167,,"Currier, 1935, IBMG P-43.",
"CH0146",140,,"Cater and others, 1973, USGS B-1304.",
"CH0147",633,,"McDowell, 1953, 54th Ann. Rept. of Mining Ind. of Idaho for 1952.",
"CH0148",767,,"No reference.",
"CH0149",166,,"Cox, 1954, USGS B-1015-A.",
"CH0150",34,,"Anderson, 1954, IBMG P-98.",
"CH0151",166,,"Cox, 1954, USGS B-1015-A.",
"CH0152",166,,"Cox, 1954, USGS B-1015-A.",
"CH0153",166,,"Cox, 1954, USGS B-1015-A.",
"CH0154",166,,"Cox, 1954, USGS B-1015-A.",
"CH0155",166,,"Cox, 1954, USGS B-1015-A.",
"CH0156",166,,"Cox, 1954, USGS B-1015-A.",
"CH0157",166,,"Cox, 1954, USGS B-1015-A.",
"CH0158",34,,"Anderson, 1954, IBMG P-98.",
"CH0159",877,,"Ross, 1934, USGS B-854.",
"CH0160",34,,"Anderson, 1954, IBMG P-98.",
"CH0161",34,,"Anderson, 1954, IBMG P-98.",
"CH0162",166,,"Cox, 1954, USGS B-1015-A.",
"CH0163",34,,"Anderson, 1954, IBMG P-98.",
"CH0164",34,,"Anderson, 1954, IBMG P-98.",
"CH0165",34,,"Anderson, 1954, IBMG P-98.",
"CH0166",34,,"Anderson, 1954, IBMG P-98.",
"CH0167",1114,,"USBM, n.d., WFOC MPF-25.004.",
"CH0168",34,,"Anderson, 1954, IBMG P-98.",
"CH0169",34,,"Anderson, 1954, IBMG P-98.",
"CH0170",166,,"Cox, 1954, USGS B-1015-A.",
"CH0171",34,,"Anderson, 1954, IBMG P-98.",
"CH0172",166,,"Cox, 1954, USGS B-1015-A.",
"CH0173",140,,"Cater and others, 1973, USGS B-1304.",
"CH0174",140,,"Cater and others, 1973, USGS B-1304.",
"CH0175",140,,"Cater and others, 1973, USGS B-1304.",
"CH0176",140,,"Cater and others, 1973, USGS B-1304.",
"CH0177",140,,"Cater and others, 1973, USGS B-1304.",
"CH0178",1024,,"USBM, n.d., Minerals Availability System backup file.",
"CH0179",140,,"Cater and others, 1973, USGS B-1304.",
"CH0180",987,,"Umpleby and Livingston, 1920, IBMG B-3.",
"CH0181",1034,,"USBM, n.d., USBM files.",
"CH0182",140,,"Cater and others, 1973, USGS B-1304.",
"CH0183",607,,"Lowe and others, 1983, USBM OFR MLA 87-83.",
